product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
4782,16564,16564,9.8,3.0,29.4,-0.8145079203575833,False
4865,16274,16274,9.8,13.0,127.4,-0.8145079203575833,False
4104,15683,15683,9.7,12.0,116.4,-0.8181004398202173,False
4223,16585,16585,9.7,3.0,29.1,-0.8181004398202173,False
4740,13412,13412,9.7,0.0,0.0,-0.8181004398202173,False
4229,15403,15403,9.6,0.0,0.0,-0.821692959282851,False
4265,15136,15136,9.6,3.0,28.8,-0.821692959282851,False
4188,16265,16265,9.5,8.0,76.0,-0.825285478745485,False
4677,15282,15282,9.5,1.0,9.5,-0.825285478745485,False
4197,16256,16256,9.4,8.0,75.2,-0.8288779982081189,False
4160,15373,15373,9.3,7.0,65.10000000000001,-0.8324705176707528,False
4191,16263,16263,9.3,12.0,111.6,-0.8324705176707528,False
4870,16149,16149,9.3,33.0,306.90000000000003,-0.8324705176707528,False
6070,16133,16133,9.3,1.0,9.3,-0.8324705176707528,False
4159,15668,15668,9.3,3.0,27.9,-0.8324705176707528,False
5016,14839,14839,9.3,3.0,27.9,-0.8324705176707528,False
4272,13089,13089,9.2,1.0,9.2,-0.8360630371333867,False
4682,15575,15575,9.1,6.0,54.6,-0.8396555565960204,False
4683,16239,16239,9.1,1.0,9.1,-0.8396555565960204,False
4170,15786,15786,9.0,4.0,36.0,-0.8432480760586544,False
6278,16273,16273,9.0,5.0,45.0,-0.8432480760586544,False
4245,16097,16097,8.9,1.0,8.9,-0.8468405955212883,False
4241,14725,14725,8.9,1.0,8.9,-0.8468405955212883,False
4222,15759,15759,8.9,4.0,35.6,-0.8468405955212883,False
4058,16318,16318,8.7,11.0,95.7,-0.8540256344465561,False
4057,16039,16039,8.7,18.0,156.6,-0.8540256344465561,False
5958,15577,15577,8.7,0.0,0.0,-0.8540256344465561,False
4860,16292,16292,8.7,11.0,95.7,-0.8540256344465561,False
4059,16275,16275,8.7,7.0,60.89999999999999,-0.8540256344465561,False
4242,15310,15310,8.6,14.0,120.4,-0.8576181539091898,False
4729,38,38,8.6,38.0,326.8,-0.8576181539091898,False
6042,16159,16159,8.5,18.0,153.0,-0.8612106733718238,False
4861,15307,15307,8.5,29.0,246.5,-0.8612106733718238,False
6930,16135,16135,8.4,5.0,42.0,-0.8648031928344577,False
4863,16255,16255,8.2,4.0,32.8,-0.8719882317597255,False
4304,15120,15120,8.1,0.0,0.0,-0.8755807512223592,False
4926,15456,15456,7.9,0.0,0.0,-0.8827657901476271,False
4928,15047,15047,7.9,5.0,39.5,-0.8827657901476271,False
4779,14300,14300,7.8,18.0,140.4,-0.886358309610261,False
4171,14332,14332,7.8,1.0,7.8,-0.886358309610261,False
4051,16045,16045,7.7,6.0,46.2,-0.8899508290728948,False
4208,16024,16024,7.6,16.0,121.6,-0.8935433485355286,False
4164,13453,13453,7.6,20.0,152.0,-0.8935433485355286,False
5056,13531,13531,7.5,1.0,7.5,-0.8971358679981626,False
4739,14366,14366,7.4,0.0,0.0,-0.9007283874607964,False
4755,16132,16132,7.4,0.0,0.0,-0.9007283874607964,False
5448,14469,14469,7.2,0.0,0.0,-0.9079134263860642,False
